date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:40	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:%222344-591693b894a00-gzip%22	https://preview.colorlib.com/theme/kiddy/js/jquery.waypoints.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:40	1390/1390	---M-Z	200	added ('OK')	application/javascript	etag:%2256e-591693b3cfec0-gzip%22	https://preview.colorlib.com/theme/kiddy/js/jquery.animateNumber.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:40	68196/68196	---M-Z	200	added ('OK')	application/javascript	etag:%2210a64-591693b6ac580-gzip%22	https://preview.colorlib.com/theme/kiddy/js/jquery.fancybox.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/jquery.fancybox.min.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:41	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%223135-591693b7a07c0-gzip%22	https://preview.colorlib.com/theme/kiddy/js/jquery.stellar.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:41	3601/3601	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ff5-591693b4c4100-gzip%22	https://preview.colorlib.com/theme/kiddy/js/jquery.easing.1.3.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:41	34172/34172	---M-Z	200	added ('OK')	application/javascript	etag:%22857c-591693ae17140-gzip%22	https://preview.colorlib.com/theme/kiddy/js/bootstrap-datepicker.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/bootstrap-datepicker.min.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:41	14212/14212	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237a4-591693ae17140-gzip%22	https://preview.colorlib.com/theme/kiddy/js/aos.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/aos.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:42	5469/5469	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d56-591693b894a00-gzip%22	https://preview.colorlib.com/theme/kiddy/js/main.js	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/js/main.js	(from https://preview.colorlib.com/theme/kiddy/)
10:18:43	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-5916944000980%22	https://preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon.eot?10si43	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon1a44.eot	(from https://preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css)
10:18:43	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-59169439539c0%22	https://preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon.ttf?10si43	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css)
10:18:43	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-5916943c30080%22	https://preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon.woff?10si43	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon1a44.woff	(from https://preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css)
10:18:44	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-591694376b540%22	https://preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon.svg?10si43	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/icomoon/fonts/icomoon1a44.svg	(from https://preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css)
10:18:44	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Mar%202021%2004:48:44%20GMT	https://preview.colorlib.com/theme/kiddy/css/owl.video.play.png	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/owl.video.play.png	(from https://preview.colorlib.com/theme/kiddy/css/owl.carousel.min.css)
10:18:44	5578/5578	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2215ca-591694254ca80%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.eot	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
10:18:44	5578/5578	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2215ca-591694254ca80%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.eot?	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
10:18:44	2968/2968	---M--	200	added ('OK')	font/woff2	etag:%22b98-5916942829140%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.woff2	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.woff2	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
